date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:36:30	158903/158903	U-----	200	untouched ('')	image/png	etag:%22998b51454088ef012768a0e3ed737cc1%22	https://static.tildacdn.com/tild3137-3632-4735-b030-613432656132/Artboard3.png	C:/My%20Web%20Sites/http___6513.tilda.ws_page2756076.html/static.tildacdn.com/tild3137-3632-4735-b030-613432656132/Artboard3.png	(from http://6513.tilda.ws/page2739665.html)
18:36:35	676/676	U-----	200	untouched ('')	image/png	date:Thu,%2022%20Feb%202018%2021:17:56%20GMT	https://static.tildacdn.com/tild3630-3762-4461-b134-386565366562/-/resize/20x/Artboard17.png	C:/My%20Web%20Sites/http___6513.tilda.ws_page2756076.html/static.tildacdn.com/tild3630-3762-4461-b134-386565366562/-/resize/20x/Artboard17.png	(from http://6513.tilda.ws/page2739665.html)
18:36:35	300430/300430	U-----	200	untouched ('')	image/png	etag:%22826ae473ac90ce0a9c7a59f82f9d8bf4%22	https://static.tildacdn.com/tild6134-3039-4437-a633-656261633737/Artboard5.png	C:/My%20Web%20Sites/http___6513.tilda.ws_page2756076.html/static.tildacdn.com/tild6134-3039-4437-a633-656261633737/Artboard5.png	(from http://6513.tilda.ws/page2739665.html)
18:36:36	349/349	U-----	200	untouched ('')	image/jpeg	date:Thu,%2022%20Feb%202018%2021:17:56%20GMT	https://static.tildacdn.com/tild6333-3763-4539-a661-633335363930/-/resize/20x/ImageHandler5.jpeg	C:/My%20Web%20Sites/http___6513.tilda.ws_page2756076.html/static.tildacdn.com/tild6333-3763-4539-a661-633335363930/-/resize/20x/ImageHandler5.jpg	(from http://6513.tilda.ws/page2739665.html)
18:36:36	642/642	U-----	200	untouched ('')	image/png	date:Thu,%2022%20Feb%202018%2021:17:57%20GMT	https://static.tildacdn.com/tild3437-6636-4039-b037-633638303530/-/resize/20x/Artboard15.png	C:/My%20Web%20Sites/http___6513.tilda.ws_page2756076.html/static.tildacdn.com/tild3437-6636-4039-b037-633638303530/-/resize/20x/Artboard15.png	(from http://6513.tilda.ws/page2739665.html)
18:36:41	1003356/1003356	U-----	200	untouched ('')	image/png	etag:%2246ea26e1861f816e2e53338c51b15bc7%22	https://static.tildacdn.com/tild3431-3835-4461-a531-623162633862/Artboard12.png	C:/My%20Web%20Sites/http___6513.tilda.ws_page2756076.html/static.tildacdn.com/tild3431-3835-4461-a531-623162633862/Artboard12.png	(from http://6513.tilda.ws/page2739665.html)
18:36:42	304038/304038	U-----	200	untouched ('')	image/png	etag:%22be48063a109cf19b7720b28c69790dc3%22	https://static.tildacdn.com/tild6538-6331-4234-b936-326164363437/Artboard16.png	C:/My%20Web%20Sites/http___6513.tilda.ws_page2756076.html/static.tildacdn.com/tild6538-6331-4234-b936-326164363437/Artboard16.png	(from http://6513.tilda.ws/page2739665.html)
18:36:42	277/277	U-----	200	untouched ('')	image/jpeg	date:Sat,%2003%20Mar%202018%2016:36:09%20GMT	https://static.tildacdn.com/tild3861-3734-4330-a237-313431303963/-/resize/20x/b0ec445e7f35411d9be6.jpg	C:/My%20Web%20Sites/http___6513.tilda.ws_page2756076.html/static.tildacdn.com/tild3861-3734-4330-a237-313431303963/-/resize/20x/b0ec445e7f35411d9be6.jpg	(from http://6513.tilda.ws/page2746166.html)
18:36:43	426022/426022	U-----	200	untouched ('')	image/png	etag:%2290ae933c2c612d667d219b0e48497cd4%22	https://static.tildacdn.com/tild3437-6636-4039-b037-633638303530/Artboard15.png	C:/My%20Web%20Sites/http___6513.tilda.ws_page2756076.html/static.tildacdn.com/tild3437-6636-4039-b037-633638303530/Artboard15.png	(from http://6513.tilda.ws/page2739665.html)
18:36:47	194/194	U-----	200	untouched ('')	image/png	date:Fri,%2027%20Apr%202018%2012:32:35%20GMT	https://static.tildacdn.com/tild6337-6231-4936-b261-646437366535/-/empty/lock-active.jpg	C:/My%20Web%20Sites/http___6513.tilda.ws_page2756076.html/static.tildacdn.com/tild6337-6231-4936-b261-646437366535/-/empty/lock-active.png	(from http://6513.tilda.ws/page2741465.html)
18:36:47	516/516	U-----	200	untouched ('')	image/png	date:Thu,%2022%20Feb%202018%2021:17:56%20GMT	https://static.tildacdn.com/tild6430-6534-4263-b137-373135336331/-/resize/20x/Artboard2.png	C:/My%20Web%20Sites/http___6513.tilda.ws_page2756076.html/static.tildacdn.com/tild6430-6534-4263-b137-373135336331/-/resize/20x/Artboard2.png	(from http://6513.tilda.ws/page2739665.html)
18:36:48	351/351	U-----	200	untouched ('')	image/jpeg	date:Tue,%2020%20Mar%202018%2016:38:34%20GMT	https://static.tildacdn.com/tild6666-3935-4635-b730-653536363231/-/resize/20x/ImageHandler4.jpeg	C:/My%20Web%20Sites/http___6513.tilda.ws_page2756076.html/static.tildacdn.com/tild6666-3935-4635-b730-653536363231/-/resize/20x/ImageHandler4.jpg	(from http://6513.tilda.ws/page2739665.html)
18:36:49	87720/87720	U-----	200	untouched ('')	image/jpeg	etag:%228235d28ba2dbf5fa8808e8c64a58804b%22	https://static.tildacdn.com/tild6135-3233-4836-a230-363061663065/ImageHandler.jpeg	C:/My%20Web%20Sites/http___6513.tilda.ws_page2756076.html/static.tildacdn.com/tild6135-3233-4836-a230-363061663065/ImageHandler.jpg	(from http://6513.tilda.ws/page2739665.html)
18:36:49	235016/235016	---M--	200	added ('OK')	image/png	etag:%224809bc99ea73efd8ceafe2966fe4de53%22	https://static.tildacdn.com/tild6430-6534-4263-b137-373135336331/Artboard2.png	C:/My%20Web%20Sites/http___6513.tilda.ws_page2756076.html/static.tildacdn.com/tild6430-6534-4263-b137-373135336331/Artboard2.png	(from http://6513.tilda.ws/page2739665.html)
18:36:53	40299/40299	U-----	200	untouched ('')	image/jpeg	etag:%2265fda8e6275c4024d1bb352c3e542551%22	https://static.tildacdn.com/tild3539-6633-4833-a565-343864653166/ImageHandler4.jpeg	C:/My%20Web%20Sites/http___6513.tilda.ws_page2756076.html/static.tildacdn.com/tild3539-6633-4833-a565-343864653166/ImageHandler4.jpg	(from http://6513.tilda.ws/page2739665.html)
